Ain Naadja,22728,0,10,1,9,0,2,22,0.0009679690249912,56.82,45.456
Ben M'hidi(Alger),33280,0,79,7,9,5,3,103,0.00309495192307692,83.2,66.56
Bir Khadem,20489,0,45,3,3,0,5,56,0.00273317389818927,51.2225,40.978
Bir Mourad Rais,21904,1,54,3,0,0,6,64,0.0029218407596786,54.76,43.808
Birtouta,22391,0,66,10,32,9,20,137,0.00611852976642401,55.9775,44.782
Hydra,22716,1,57,2,4,1,9,74,0.0032576157774256,56.79,45.432
Mustapha,27697,0,158,6,39,0,14,217,0.00783478355056504,69.2425,55.394
Ain Taya,11920,0,39,4,4,1,6,54,0.00453020134228188,29.8,23.84
Bab Ezzouar,14257,0,20,0,1,1,6,28,0.00196394753454443,35.6425,28.514
Bordj El Kiffan,11449,0,25,7,5,0,4,41,0.00358109878592017,28.6225,22.898
Bordj El Kiffan 2,16637,0,30,5,3,1,6,45,0.00270481456993448,41.5925,33.274
Bach-Djarah,15208,0,70,10,0,0,14,94,0.00618095739084692,38.02,30.416
Baraki,14369,0,50,9,13,2,23,97,0.00675064374695525,35.9225,28.738
Bordj El Bahri,16665,0,72,1,6,0,2,81,0.00486048604860486,41.6625,33.33
Dar El Beida,17786,0,39,5,2,2,7,55,0.00309231980209153,44.465,35.572
Eucalyptus,15861,0,51,3,4,1,8,67,0.00422419771767228,39.6525,31.722
Hussein Dey,14762,0,101,3,25,2,11,142,0.00961929277875627,36.905,29.524
Kouba,22415,1,31,2,1,0,6,41,0.00182913227749275,56.0375,44.83
Mohammadia(ALG),11493,0,4,2,0,0,2,8,0.000696075872270077,28.7325,22.986
Oued Smar,6159,0,11,2,3,0,0,16,0.00259782432213022,15.3975,12.318
Reghaia,14724,0,22,3,3,0,14,42,0.00285248573757131,36.81,29.448
Rouiba,12778,0,38,9,2,4,16,69,0.00539990608858976,31.945,25.556
Djasr Kassantina,7837,0,6,4,2,0,3,15,0.00191399770320276,19.5925,15.674
El Harrach,11593,0,16,3,3,1,2,25,0.00215647373414992,28.9825,23.186
Ain Benian,23522,1,52,1,9,1,27,91,0.00386871864637361,58.805,47.044
Bab El Oued,15745,1,16,3,0,0,3,23,0.00146078120038107,39.3625,31.49
Douera,17032,0,6,3,8,0,3,20,0.00117426021606388,42.58,34.064
Bouzareah,24456,0,16,1,2,0,6,25,0.00102224403009486,61.14,48.912
Cheraga,28090,0,41,4,0,0,5,50,0.00177999288002848,70.225,56.18
El Achour,29775,0,32,8,2,0,6,48,0.00161209068010076,74.4375,59.55
El Biar,22209,0,16,2,0,1,2,21,0.000945562609752803,55.5225,44.418
Iben Ziri,8972,0,20,3,1,0,6,30,0.00334373606776638,22.43,17.944
Ouled Fayet,18626,0,12,1,4,0,2,19,0.001020079458821,46.565,37.252
Zeralda,19710,0,21,0,12,0,1,34,0.00172501268391679,49.275,39.42
Sidi Abdellah,22110,0,1,0,4,0,0,5,0.000226142017186793,55.275,44.22
Baba Hassen,13241,0,3,0,0,0,1,4,0.000302091987010045,33.1025,26.482
Affroun,16705,1,35,4,1,0,3,44,0.00263394193355283,41.7625,33.41
Blida,31911,0,83,8,6,0,12,109,0.00341575005484002,79.7775,63.822
Blida 2,13127,0,62,5,7,0,12,86,0.00655138264645387,32.8175,26.254
Boufarik,13129,0,26,3,0,0,4,33,0.00251351968923757,32.8225,26.258
Bougara,9348,0,7,2,2,0,1,12,0.00128369704749679,23.37,18.696
Larbaa,15872,0,39,1,2,0,9,51,0.00321320564516129,39.68,31.744
Ouled-Yaich,19939,0,35,5,1,0,7,48,0.00240734239430262,49.8475,39.878
Soumaa,18384,0,34,2,5,0,6,47,0.00255657093124456,45.96,36.768
Beni Slimane,7600,0,4,0,0,1,1,6,0.000789473684210526,19,15.2
Berouaguia,11820,0,6,2,1,0,13,22,0.00186125211505922,29.55,23.64
Chellalat el Adhaoura,5642,0,0,2,0,0,0,2,0.000354484225451967,14.105,11.284
Ksar El Boukhari,12278,0,19,2,1,0,1,23,0.0018732692620948,30.695,24.556
Medea,16529,0,31,2,1,0,3,37,0.00223848992679533,41.3225,33.058
Medea 2,11754,0,17,1,0,0,4,22,0.00187170324995746,29.385,23.508
Ahmer El Ain,5835,0,1,0,0,0,1,2,0.000342759211653813,14.5875,11.67
Bou Ismail,15406,0,27,3,4,6,7,47,0.00305075944437232,38.515,30.812
Cherchell,13487,0,8,0,3,0,0,11,0.000815600207607326,33.7175,26.974
Fouka Vill,8774,0,18,1,2,0,6,27,0.00307727376339184,21.935,17.548
Gouraya,5675,0,3,0,0,0,0,3,0.00052863436123348,14.1875,11.35
Hadjout,11075,0,5,1,1,0,1,8,0.00072234762979684,27.6875,22.15
Kolea,21144,0,15,3,2,2,4,26,0.00122966326144533,52.86,42.288
Tipaza,10264,0,4,1,7,0,1,13,0.00126656274356976,25.66,20.528
Ain Bessem,9311,0,7,0,2,0,0,9,0.000966598646761895,23.2775,18.622
Bouira,17105,1,14,1,10,0,8,34,0.00198772288804443,42.7625,34.21
Bouira nouvelle ville,11197,0,19,2,0,3,5,29,0.0025899794587836,27.9925,22.394
Lakhdaria,10459,0,6,0,0,0,2,8,0.00076489148102113,26.1475,20.918
M'chedellah,8714,0,14,2,0,0,1,17,0.00195088363552903,21.785,17.428
Sour El Ghouzlane,7804,0,8,0,0,0,0,8,0.00102511532547412,19.51,15.608
Bordj Menael,13316,0,19,5,3,0,3,30,0.00225292880744968,33.29,26.632
Boudouaou,14968,0,58,16,5,0,21,100,0.00668091929449492,37.42,29.936
Boumerdes,24752,0,34,5,2,0,8,49,0.00197963800904977,61.88,49.504
Dellys,9277,0,44,4,0,0,11,59,0.00635981459523553,23.1925,18.554
Khemis El Khechna,17462,0,49,49,6,0,46,150,0.00859008131943649,43.655,34.924
Thenia,7933,0,8,1,0,0,4,13,0.00163872431614774,19.8325,15.866
Ain El HAMMAM,6130,0,3,0,0,0,1,4,0.00065252854812398,15.325,12.26
Azazga,11576,0,6,0,1,0,7,14,0.00120939875604699,28.94,23.152
Draa Ben Khedda,8400,0,7,0,1,0,3,11,0.00130952380952381,21,16.8
Draa El Mizan,5410,0,0,2,0,0,2,4,0.000739371534195933,13.525,10.82
Larbaa Naiterathen,11349,0,14,0,3,0,4,21,0.00185038329368226,28.3725,22.698
Mekla,6611,0,1,0,0,0,0,1,0.000151263046437755,16.5275,13.222
Ouadhias,8597,0,3,1,0,0,2,6,0.00069791787832965,21.4925,17.194
Tigzirt,8711,0,4,0,0,0,2,6,0.000688784295718058,21.7775,17.422
Tizi Ouzou,27245,0,7,3,1,0,2,13,0.00047715177096715,68.1125,54.49
Tizi Ouzou Nlle Ville,23209,7,22,5,4,0,9,47,0.00202507647895213,58.0225,46.418
Annaba,22478,1,22,1,3,0,9,36,0.00160156597562061,56.195,44.956
Bouzered,26915,1,31,1,9,0,4,46,0.00170908415381757,67.2875,53.83
El Bouni,28056,0,42,2,2,2,8,56,0.00199600798403194,70.14,56.112
Plaine Ouest,16416,0,21,4,3,2,5,35,0.00213206627680312,41.04,32.832
El Kala,10837,0,20,3,2,0,7,32,0.00295284672879948,27.0925,21.674
El Tarf,14530,0,17,4,3,0,9,33,0.00227116311080523,36.325,29.06
Drean,23265,0,50,8,6,1,15,80,0.00343864173651408,58.1625,46.53
Bouchegouf,5440,0,3,1,0,0,1,5,0.000919117647058824,13.6,10.88
Guelma1,24311,0,9,1,0,0,1,11,0.000452470075274567,60.7775,48.622
Guelma2,19887,0,28,1,3,0,10,42,0.00211193241816262,49.7175,39.774
Oued Zenati,8603,0,4,1,5,0,6,16,0.00185981634313612,21.5075,17.206
Lalaouia,13926,0,4,1,0,0,1,6,0.000430848772081,34.815,27.852
Sedrata,14496,0,8,2,5,1,8,24,0.00165562913907285,36.24,28.992
Souk Ahras,19922,0,16,5,1,0,14,36,0.00180704748519225,49.805,39.844
Taoura,5300,0,1,0,0,0,1,2,0.000377358490566038,13.25,10.6
Ain Touta,9686,0,1,3,0,0,9,13,0.00134214329960768,24.215,19.372
Arris,8742,0,8,1,0,3,5,17,0.00194463509494395,21.855,17.484
Barika,14253,0,14,1,2,0,0,17,0.0011927313548025,35.6325,28.506
